Value,Status,Strand,Chromosome,Gene,CC0,CC1,CC2,CC3,CC4,CC5,CC6,CC7,CC8,CC9,CC10,CC11,CC12,CC13,CC14,BP0,BP1,BP2,BP3,BP4,BP5,BP6,BP7,BP8,BP9,BP10,BP11,BP12,BP13,BP14,MF0,MF1,MF2,MF3,MF4,MF5,MF6,MF7,MF8,MF9,MF10,MF11,MF12,MF13,MF14
5727,Verified,C,chr 16,YRF1-7,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,mitochondrion,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,cellular macromolecule metabolic process,DNA metabolic process,DNA recombination,,,,,,,,,,catalytic activity,hydrolase activity,"hydrolase activity, acting on acid anhydrides","hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides",pyrophosphatase activity,nucleoside-triphosphatase activity,helicase activity,,,,,,,,
494,Verified,C,chr 16,PAU22,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,vacuole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1313,Verified,C,chr 16,ERR2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,catalytic activity,lyase activity,,,,,,,,,,,,,
713,Verified,W,chr 16,HSP32,cell part,intracellular part,cytoplasm,,,,,,,,,,,,,,,,,,,,,,,,,,,,catalytic activity,hydrolase activity,,,,,,,,,,,,,
1127,Verified,C,chr 16,FEX2,membrane,plasma membrane,,,,,,,,,,,,,,localization,establishment of localization,transport,ion transport,,,,,,,,,,,,transporter activity,transmembrane transporter activity,,,,,,,,,,,,,
1763,Verified,W,chr 16,SAM3,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,endoplasmic reticulum,,,,,,,,,,,,localization,establishment of localization,transport,ion transport,,,,,,,,,,,,transporter activity,transmembrane transporter activity,,,,,,,,,,,,,
977,Verified,W,chr 16,SAM4,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,nucleus,,,,,,,,,,,,metabolic process,cellular metabolic process,organic acid metabolic process,oxoacid metabolic process,carboxylic acid metabolic process,cellular amino acid metabolic process,,,,,,,,,,catalytic activity,transferase activity,"transferase activity, transferring one-carbon groups",methyltransferase activity,,,,,,,,,,,
188,Verified,W,chr 16,ATP15,cell part,envelope,organelle envelope,mitochondrial envelope,,,,,,,,,,,,metabolic process,cellular metabolic process,cellular aromatic compound metabolic process,nucleobase-containing compound metabolic process,nucleobase-containing small molecule metabolic process,,,,,,,,,,,catalytic activity,hydrolase activity,"hydrolase activity, acting on acid anhydrides","hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides",pyrophosphatase activity,nucleoside-triphosphatase activity,ATPase activity,,,,,,,,
2321,Verified,W,chr 16,MDL2,cell part,envelope,organelle envelope,mitochondrial envelope,,,,,,,,,,,,localization,establishment of localization,transport,transmembrane transport,,,,,,,,,,,,catalytic activity,hydrolase activity,"hydrolase activity, acting on acid anhydrides","hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides",pyrophosphatase activity,nucleoside-triphosphatase activity,ATPase activity,,,,,,,,
2609,Verified,W,chr 16,PLC1,organelle,non-membrane-bounded organelle,intracellular non-membrane-bounded organelle,chromosome,,,,,,,,,,,,metabolic process,primary metabolic process,lipid metabolic process,,,,,,,,,,,,,catalytic activity,hydrolase activity,,,,,,,,,,,,,
956,Verified,W,chr 16,DIM1,,,,,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,cellular macromolecule metabolic process,RNA metabolic process,ncRNA metabolic process,rRNA metabolic process,rRNA processing,,,,,,,,catalytic activity,transferase activity,"transferase activity, transferring one-carbon groups",methyltransferase activity,,,,,,,,,,,
1466,Verified,W,chr 16,FUM1,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,mitochondrion,,,,,,,,,,,,metabolic process,cellular metabolic process,generation of precursor metabolites and energy,energy derivation by oxidation of organic compounds,cellular respiration,,,,,,,,,,,catalytic activity,lyase activity,,,,,,,,,,,,,
1427,Verified,C,chr 16,APM1,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,Golgi apparatus,,,,,,,,,,,,localization,establishment of localization,transport,vesicle-mediated transport,Golgi vesicle transport,,,,,,,,,,,,,,,,,,,,,,,,,
1655,Verified,C,chr 16,THI21,,,,,,,,,,,,,,,,metabolic process,small molecule metabolic process,vitamin metabolic process,,,,,,,,,,,,,catalytic activity,transferase activity,"transferase activity, transferring phosphorus-containing groups",kinase activity,,,,,,,,,,,
1637,Verified,C,chr 16,CLN2,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,nucleus,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,protein metabolic process,protein modification process,cellular protein modification process,protein phosphorylation,,,,,,,,,molecular function regulator,enzyme regulator activity,,,,,,,,,,,,,
1466,Verified,W,chr 16,HFI1,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,nucleus,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,protein metabolic process,protein modification process,cellular protein modification process,histone modification,,,,,,,,,"transcription factor activity, protein binding",,,,,,,,,,,,,,
518,Verified,C,chr 16,YAH1,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,mitochondrion,,,,,,,,,,,,metabolic process,cellular metabolic process,cofactor metabolic process,,,,,,,,,,,,,catalytic activity,oxidoreductase activity,,,,,,,,,,,,,
410,Verified,C,chr 16,ATG41,,,,,,,,,,,,,,,,localization,establishment of localization,transport,nitrogen compound transport,amide transport,peptide transport,protein transport,intracellular protein transport,protein targeting,,,,,,,,,,,,,,,,,,,,,
540,Verified,C,chr 16,RPL36B,cell part,intracellular part,intracellular ribonucleoprotein complex,ribosome,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,macromolecule biosynthetic process,cellular macromolecule biosynthetic process,translation,cytoplasmic translation,,,,,,,,,binding,organic cyclic compound binding,nucleic acid binding,RNA binding,,,,,,,,,,,
2645,Verified,C,chr 16,GAL4,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,nucleus,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,macromolecule biosynthetic process,cellular macromolecule biosynthetic process,"transcription, DNA-templated",transcription from RNA polymerase II promoter,,,,,,,,,binding,organic cyclic compound binding,nucleic acid binding,DNA binding,,,,,,,,,,,
788,Verified,C,chr 16,RBD2,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,Golgi apparatus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1799,Verified,W,chr 16,SRP68,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,nucleus,,,,,,,,,,,,localization,establishment of localization,transport,nitrogen compound transport,amide transport,peptide transport,protein transport,intracellular protein transport,protein targeting,,,,,,,,,,,,,,,,,,,,,
4487,Verified,C,chr 16,IQG1,cell part,intracellular part,cytoplasm,cytoplasmic region,cell cortex,,,,,,,,,,,cellular process,cellular component organization,organelle organization,cytoskeleton organization,,,,,,,,,,,,binding,protein binding,cytoskeletal protein binding,,,,,,,,,,,,
886,Verified,C,chr 16,CIN2,,,,,,,,,,,,,,,,cellular component organization or biogenesis,cellular component biogenesis,protein complex biogenesis,,,,,,,,,,,,,molecular function regulator,enzyme regulator activity,,,,,,,,,,,,,
2129,Verified,C,chr 16,HSP82,cell part,intracellular part,cytoplasm,,,,,,,,,,,,,localization,establishment of localization,transport,nitrogen compound transport,amide transport,peptide transport,protein transport,intracellular protein transport,protein targeting,,,,,,,catalytic activity,hydrolase activity,"hydrolase activity, acting on acid anhydrides","hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides",pyrophosphatase activity,nucleoside-triphosphatase activity,ATPase activity,,,,,,,,
857,Verified,W,chr 16,SUI3,cell part,intracellular part,cytoplasm,,,,,,,,,,,,,metabolic process,cellular metabolic process,translational initiation,,,,,,,,,,,,,binding,organic cyclic compound binding,nucleic acid binding,RNA binding,,,,,,,,,,,
1094,Verified,C,chr 16,ENV7,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,vacuole,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,protein metabolic process,protein maturation,,,,,,,,,,,catalytic activity,transferase activity,"transferase activity, transferring phosphorus-containing groups",kinase activity,,,,,,,,,,,
1415,Verified,W,chr 16,RVB2,organelle,non-membrane-bounded organelle,intracellular non-membrane-bounded organelle,chromosome,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,cellular macromolecule metabolic process,RNA metabolic process,ncRNA metabolic process,rRNA metabolic process,rRNA processing,,,,,,,,catalytic activity,hydrolase activity,"hydrolase activity, acting on acid anhydrides","hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides",pyrophosphatase activity,nucleoside-triphosphatase activity,ATPase activity,,,,,,,,
494,Verified,C,chr 16,VMA11,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,vacuole,,,,,,,,,,,,biological regulation,regulation of biological quality,homeostatic process,chemical homeostasis,ion homeostasis,cellular ion homeostasis,,,,,,,,,,catalytic activity,hydrolase activity,"hydrolase activity, acting on acid anhydrides","hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides",pyrophosphatase activity,nucleoside-triphosphatase activity,ATPase activity,,,,,,,,
650,Verified,W,chr 16,NSL1,organelle,non-membrane-bounded organelle,intracellular non-membrane-bounded organelle,chromosome,,,,,,,,,,,,cellular process,chromosome segregation,,,,,,,,,,,,,,,,,,,,,,,,,,,,
872,Verified,W,chr 16,SSO1,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,vacuole,,,,,,,,,,,,cellular process,cellular component organization,membrane organization,membrane fusion,,,,,,,,,,,,binding,ion binding,,,,,,,,,,,,,
5663,Verified,W,chr 16,FAS2,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,mitochondrion,,,,,,,,,,,,metabolic process,cellular metabolic process,organic acid metabolic process,oxoacid metabolic process,carboxylic acid metabolic process,monocarboxylic acid metabolic process,,,,,,,,,,catalytic activity,oxidoreductase activity,,,,,,,,,,,,,
1175,Verified,W,chr 16,USV1,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,nucleus,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,macromolecule biosynthetic process,cellular macromolecule biosynthetic process,"transcription, DNA-templated",transcription from RNA polymerase II promoter,,,,,,,,,binding,organic cyclic compound binding,nucleic acid binding,DNA binding,,,,,,,,,,,
1649,Verified,W,chr 16,CET1,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,nucleus,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,cellular macromolecule metabolic process,RNA metabolic process,RNA processing,mRNA processing,,,,,,,,,catalytic activity,hydrolase activity,,,,,,,,,,,,,
1004,Verified,C,chr 16,ALG5,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,endoplasmic reticulum,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,protein metabolic process,protein modification process,cellular protein modification process,protein glycosylation,,,,,,,,,catalytic activity,transferase activity,,,,,,,,,,,,,
1454,Verified,C,chr 16,MMT2,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,mitochondrion,,,,,,,,,,,,biological regulation,regulation of biological quality,homeostatic process,chemical homeostasis,ion homeostasis,cellular ion homeostasis,,,,,,,,,,,,,,,,,,,,,,,,
2381,Verified,W,chr 16,FLC1,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,endoplasmic reticulum,,,,,,,,,,,,localization,establishment of localization,transport,organic substance transport,nucleobase-containing compound transport,,,,,,,,,,,transporter activity,transmembrane transporter activity,,,,,,,,,,,,,
653,Verified,W,chr 16,RPL1A,cell part,intracellular part,intracellular ribonucleoprotein complex,ribosome,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,macromolecule biosynthetic process,cellular macromolecule biosynthetic process,translation,cytoplasmic translation,,,,,,,,,structural molecule activity,structural constituent of ribosome,,,,,,,,,,,,,
711,Verified,W,chr 16,SAR1,cell part,intracellular part,cytoplasmic part,cytoplasmic vesicle,,,,,,,,,,,,localization,establishment of localization,transport,vesicle-mediated transport,Golgi vesicle transport,,,,,,,,,,,catalytic activity,hydrolase activity,"hydrolase activity, acting on acid anhydrides","hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides",pyrophosphatase activity,nucleoside-triphosphatase activity,GTPase activity,,,,,,,,
3551,Verified,C,chr 16,BMS1,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,mitochondrion,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,cellular macromolecule metabolic process,RNA metabolic process,ncRNA metabolic process,rRNA metabolic process,rRNA processing,,,,,,,,catalytic activity,hydrolase activity,"hydrolase activity, acting on acid anhydrides","hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides",pyrophosphatase activity,nucleoside-triphosphatase activity,GTPase activity,,,,,,,,
1622,Verified,C,chr 16,THI6,cell part,intracellular part,cytoplasm,,,,,,,,,,,,,metabolic process,small molecule metabolic process,vitamin metabolic process,,,,,,,,,,,,,catalytic activity,transferase activity,"transferase activity, transferring phosphorus-containing groups",kinase activity,,,,,,,,,,,
716,Verified,W,chr 16,LEA1,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,nucleus,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,cellular macromolecule metabolic process,RNA metabolic process,RNA processing,RNA splicing,,,,,,,,,,,,,,,,,,,,,,,
1634,Verified,C,chr 16,PUS1,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,nucleus,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,cellular macromolecule metabolic process,RNA metabolic process,ncRNA metabolic process,tRNA metabolic process,tRNA processing,,,,,,,,binding,organic cyclic compound binding,nucleic acid binding,RNA binding,,,,,,,,,,,
545,Verified,W,chr 16,NIP7,organelle,non-membrane-bounded organelle,intracellular non-membrane-bounded organelle,nucleolus,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,cellular macromolecule metabolic process,RNA metabolic process,ncRNA metabolic process,rRNA metabolic process,rRNA processing,,,,,,,,,,,,,,,,,,,,,,
1922,Verified,C,chr 16,SRP72,cell part,intracellular part,cytoplasm,,,,,,,,,,,,,localization,establishment of localization,transport,nitrogen compound transport,amide transport,peptide transport,protein transport,intracellular protein transport,protein targeting,,,,,,,,,,,,,,,,,,,,,
1103,Verified,C,chr 16,IPL1,organelle,non-membrane-bounded organelle,intracellular non-membrane-bounded organelle,chromosome,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,protein metabolic process,protein modification process,cellular protein modification process,peptidyl-amino acid modification,,,,,,,,,catalytic activity,transferase activity,"transferase activity, transferring phosphorus-containing groups",kinase activity,,,,,,,,,,,
1751,Verified,W,chr 16,RKM1,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,nucleus,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,protein metabolic process,protein modification process,cellular protein modification process,peptidyl-amino acid modification,,,,,,,,,catalytic activity,transferase activity,"transferase activity, transferring one-carbon groups",methyltransferase activity,,,,,,,,,,,
2432,Verified,W,chr 16,TYW1,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,endoplasmic reticulum,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,cellular macromolecule metabolic process,RNA metabolic process,ncRNA metabolic process,tRNA metabolic process,tRNA processing,,,,,,,,,,,,,,,,,,,,,,
965,Verified,C,chr 16,PGC1,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,mitochondrion,,,,,,,,,,,,metabolic process,primary metabolic process,lipid metabolic process,,,,,,,,,,,,,catalytic activity,hydrolase activity,,,,,,,,,,,,,
1484,Verified,W,chr 16,HRR25,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,Golgi apparatus,,,,,,,,,,,,localization,establishment of localization,transport,nitrogen compound transport,amide transport,peptide transport,protein transport,intracellular protein transport,protein targeting,,,,,,,catalytic activity,transferase activity,"transferase activity, transferring phosphorus-containing groups",kinase activity,,,,,,,,,,,
1142,Verified,W,chr 16,TPK2,organelle,non-membrane-bounded organelle,intracellular non-membrane-bounded organelle,chromosome,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,protein metabolic process,protein modification process,cellular protein modification process,protein phosphorylation,,,,,,,,,catalytic activity,transferase activity,"transferase activity, transferring phosphorus-containing groups",kinase activity,,,,,,,,,,,
1550,Verified,W,chr 16,RPL7B,organelle,non-membrane-bounded organelle,intracellular non-membrane-bounded organelle,nucleolus,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,cellular macromolecule metabolic process,RNA metabolic process,ncRNA metabolic process,rRNA metabolic process,rRNA processing,,,,,,,,structural molecule activity,structural constituent of ribosome,,,,,,,,,,,,,
2798,Verified,W,chr 16,APL5,cell part,intracellular part,cytoplasm,,,,,,,,,,,,,localization,establishment of localization,transport,nitrogen compound transport,amide transport,peptide transport,protein transport,intracellular protein transport,protein targeting,,,,,,,,,,,,,,,,,,,,,
401,Verified,C,chr 16,PRM3,organelle,non-membrane-bounded organelle,intracellular non-membrane-bounded organelle,cytoskeleton,,,,,,,,,,,,cellular process,cellular component organization,membrane organization,membrane fusion,,,,,,,,,,,,,,,,,,,,,,,,,,
2408,Verified,C,chr 16,NAB3,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,nucleus,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,cellular macromolecule metabolic process,RNA metabolic process,ncRNA metabolic process,snoRNA metabolic process,snoRNA processing,,,,,,,,binding,organic cyclic compound binding,nucleic acid binding,RNA binding,,,,,,,,,,,
1829,Verified,W,chr 16,GUP2,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,endoplasmic reticulum,,,,,,,,,,,,localization,establishment of localization,transport,organic substance transport,carbohydrate transport,,,,,,,,,,,catalytic activity,transferase activity,,,,,,,,,,,,,
1244,Verified,W,chr 16,POS5,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,mitochondrion,,,,,,,,,,,,metabolic process,cellular metabolic process,cellular aromatic compound metabolic process,nucleobase-containing compound metabolic process,nucleobase-containing small molecule metabolic process,,,,,,,,,,,catalytic activity,transferase activity,"transferase activity, transferring phosphorus-containing groups",kinase activity,,,,,,,,,,,
1838,Verified,C,chr 16,MRN1,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,nucleus,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,cellular macromolecule metabolic process,RNA metabolic process,RNA processing,RNA splicing,,,,,,,,,binding,organic cyclic compound binding,nucleic acid binding,RNA binding,,,,,,,,,,,
281,Verified,W,chr 16,RTC6,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,mitochondrion,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,macromolecule biosynthetic process,cellular macromolecule biosynthetic process,translation,mitochondrial translation,,,,,,,,,structural molecule activity,structural constituent of ribosome,,,,,,,,,,,,,
3041,Verified,C,chr 16,RTT10,cell part,intracellular part,cytoplasmic part,cytoplasmic vesicle,,,,,,,,,,,,localization,establishment of localization,transport,intracellular transport,endosomal transport,,,,,,,,,,,,,,,,,,,,,,,,,
1520,Verified,W,chr 16,CTI6,organelle,non-membrane-bounded organelle,intracellular non-membrane-bounded organelle,chromosome,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,cellular macromolecule metabolic process,DNA metabolic process,DNA replication,,,,,,,,,,binding,protein binding,histone binding,,,,,,,,,,,,
1649,Verified,W,chr 16,PPQ1,cell part,intracellular part,cytoplasm,,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,protein metabolic process,protein modification process,cellular protein modification process,protein dephosphorylation,,,,,,,,,catalytic activity,hydrolase activity,,,,,,,,,,,,,
626,Verified,W,chr 16,CBC2,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,nucleus,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,cellular macromolecule metabolic process,RNA metabolic process,RNA processing,RNA splicing,,,,,,,,,binding,organic cyclic compound binding,nucleic acid binding,RNA binding,,,,,,,,,,,
1458,Verified,W,chr 16,SPT14,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,endoplasmic reticulum,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,protein metabolic process,protein modification process,cellular protein modification process,protein lipidation,,,,,,,,,catalytic activity,transferase activity,,,,,,,,,,,,,
2606,Verified,C,chr 16,NIP100,cell part,intracellular part,cytoplasm,cytoplasmic region,cell cortex,,,,,,,,,,,cellular process,cellular component organization,organelle organization,cytoskeleton organization,,,,,,,,,,,,binding,protein binding,cytoskeletal protein binding,,,,,,,,,,,,
893,Verified,W,chr 16,MRPL40,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,mitochondrion,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,macromolecule biosynthetic process,cellular macromolecule biosynthetic process,translation,mitochondrial translation,,,,,,,,,structural molecule activity,structural constituent of ribosome,,,,,,,,,,,,,
1388,Verified,C,chr 16,COX10,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,mitochondrion,,,,,,,,,,,,metabolic process,cellular metabolic process,cofactor metabolic process,,,,,,,,,,,,,catalytic activity,transferase activity,,,,,,,,,,,,,
1202,Verified,C,chr 16,OYE3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,catalytic activity,oxidoreductase activity,,,,,,,,,,,,,
4514,Verified,C,chr 16,REV3,organelle,non-membrane-bounded organelle,intracellular non-membrane-bounded organelle,chromosome,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,cellular macromolecule metabolic process,DNA metabolic process,DNA repair,,,,,,,,,,catalytic activity,transferase activity,"transferase activity, transferring phosphorus-containing groups",nucleotidyltransferase activity,,,,,,,,,,,
2147,Verified,C,chr 16,MLH3,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,nucleus,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,cellular macromolecule metabolic process,DNA metabolic process,DNA recombination,,,,,,,,,,catalytic activity,hydrolase activity,"hydrolase activity, acting on acid anhydrides","hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides",pyrophosphatase activity,nucleoside-triphosphatase activity,ATPase activity,,,,,,,,
1901,Verified,C,chr 16,BEM4,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,nucleus,,,,,,,,,,,,cellular process,cellular component organization,organelle organization,cytoskeleton organization,,,,,,,,,,,,,,,,,,,,,,,,,,
3272,Verified,W,chr 16,CDC60,cell part,intracellular part,cytoplasm,,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,cellular macromolecule metabolic process,RNA metabolic process,ncRNA metabolic process,tRNA metabolic process,tRNA aminoacylation,tRNA aminoacylation for protein translation,,,,,,,catalytic activity,ligase activity,,,,,,,,,,,,,
2276,Verified,C,chr 16,AIM44,cell part,cellular bud,,,,,,,,,,,,,,cellular process,cell cycle process,cytokinesis,,,,,,,,,,,,,,,,,,,,,,,,,,,
947,Verified,W,chr 16,TGS1,organelle,non-membrane-bounded organelle,intracellular non-membrane-bounded organelle,nucleolus,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,cellular macromolecule metabolic process,RNA metabolic process,ncRNA metabolic process,tRNA metabolic process,tRNA processing,,,,,,,,catalytic activity,transferase activity,"transferase activity, transferring one-carbon groups",methyltransferase activity,,,,,,,,,,,
854,Verified,C,chr 16,PRM4,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,vacuole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1217,Verified,C,chr 16,PEP4,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,endoplasmic reticulum,,,,,,,,,,,,localization,establishment of localization,transport,nitrogen compound transport,amide transport,peptide transport,protein transport,intracellular protein transport,protein targeting,,,,,,,catalytic activity,hydrolase activity,,,,,,,,,,,,,
2465,Verified,C,chr 16,RAD53,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,nucleus,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,protein metabolic process,protein modification process,cellular protein modification process,protein phosphorylation,,,,,,,,,binding,organic cyclic compound binding,nucleic acid binding,DNA binding,,,,,,,,,,,
1076,Verified,W,chr 16,RRD2,,,,,,,,,,,,,,,,cellular process,cellular component organization,organelle organization,cytoskeleton organization,,,,,,,,,,,,molecular function regulator,enzyme regulator activity,,,,,,,,,,,,,
1355,Verified,C,chr 16,PRP46,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,nucleus,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,cellular macromolecule metabolic process,RNA metabolic process,RNA processing,RNA splicing,,,,,,,,,,,,,,,,,,,,,,,
884,Verified,W,chr 16,ATG5,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,nucleus,,,,,,,,,,,,localization,establishment of localization,transport,nitrogen compound transport,amide transport,peptide transport,protein transport,intracellular protein transport,protein targeting,,,,,,,molecular function regulator,enzyme regulator activity,,,,,,,,,,,,,
521,Verified,C,chr 16,PPT2,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,mitochondrion,,,,,,,,,,,,,,,,,,,,,,,,,,,catalytic activity,transferase activity,,,,,,,,,,,,,
2612,Verified,W,chr 16,PXA1,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,microbody,peroxisome,,,,,,,,,,,localization,establishment of localization,transport,organic substance transport,lipid transport,,,,,,,,,,,catalytic activity,hydrolase activity,"hydrolase activity, acting on acid anhydrides","hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides",pyrophosphatase activity,nucleoside-triphosphatase activity,ATPase activity,,,,,,,,
1367,Verified,C,chr 16,NOP53,organelle,non-membrane-bounded organelle,intracellular non-membrane-bounded organelle,nucleolus,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,cellular macromolecule metabolic process,RNA metabolic process,ncRNA metabolic process,rRNA metabolic process,rRNA processing,,,,,,,,binding,organic cyclic compound binding,nucleic acid binding,RNA binding,,,,,,,,,,,
1304,Verified,C,chr 16,KES1,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,Golgi apparatus,,,,,,,,,,,,localization,establishment of localization,transport,vesicle-mediated transport,Golgi vesicle transport,,,,,,,,,,,binding,ion binding,,,,,,,,,,,,,
446,Verified,W,chr 16,POC4,cell part,intracellular part,cytoplasm,,,,,,,,,,,,,cellular component organization or biogenesis,cellular component biogenesis,protein complex biogenesis,,,,,,,,,,,,,,,,,,,,,,,,,,,
848,Verified,W,chr 16,RPL33A,cell part,intracellular part,intracellular ribonucleoprotein complex,ribosome,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,macromolecule biosynthetic process,cellular macromolecule biosynthetic process,translation,cytoplasmic translation,,,,,,,,,structural molecule activity,structural constituent of ribosome,,,,,,,,,,,,,
2597,Verified,C,chr 16,FRK1,cell part,intracellular part,cytoplasm,,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,protein metabolic process,protein modification process,cellular protein modification process,protein phosphorylation,,,,,,,,,catalytic activity,transferase activity,"transferase activity, transferring phosphorus-containing groups",kinase activity,,,,,,,,,,,
